id,name,width,height,nodes,text,instances,components,styled_text,bound_nodes,auto_layout,fonts
12:108,Style Guide — Color,1280,853,45,25,0,0,0,0,20,"{""Inter"": 25}"
12:153,Style Guide — Typography,1280,853,23,14,0,0,0,0,9,"{""Inter"": 11, ""Manrope"": 1, ""DM Sans"": 2}"
12:176,Style Guide — Spacing,1280,922,46,23,0,0,0,0,16,"{""Inter"": 23}"
12:82,Style Guide — Brand,1280,706,26,13,0,0,0,0,11,"{""Inter"": 8, ""Manrope"": 2, ""DM Sans"": 3}"
13:167,MindLeverX — Homepage Concept,1440,5204,151,85,6,2,80,18,59,"{""Manrope"": 22, ""DM Sans"": 63}"
13:322,MindLeverX — Homepage Concept / Mobile,390,7228,146,82,6,2,76,116,51,"{""DM Sans"": 60, ""Manrope"": 22}"
13:43,site-plan,1440,2445,122,70,13,0,43,94,50,"{""Manrope"": 32, ""DM Sans"": 38}"
13:480,MindLeverX — Method,1440,3207,121,68,3,0,51,2,49,"{""Manrope"": 26, ""DM Sans"": 42}"
13:602,MindLeverX — What is GEO,1440,2556,81,46,3,0,43,2,27,"{""Manrope"": 12, ""DM Sans"": 34}"
13:682,MindLeverX — Illustrative Report,1440,1697,99,54,3,0,32,2,39,"{""Manrope"": 6, ""DM Sans"": 30, ""Inter"": 18}"
13:791,MindLeverX — Research / Evidence,1440,3714,118,73,6,0,68,80,40,"{""Manrope"": 19, ""DM Sans"": 52, ""Inter"": 2}"
13:893,MindLeverX — About,1440,2451,72,41,3,0,37,41,27,"{""Manrope"": 13, ""DM Sans"": 27, ""Inter"": 1}"
13:966,MindLeverX — Availability,1440,1865,86,44,3,0,37,38,38,"{""Manrope"": 13, ""DM Sans"": 27, ""Inter"": 4}"
14:266,MindLeverX — Method / Mobile,390,5057,135,66,3,0,48,91,60,"{""DM Sans"": 40, ""Manrope"": 26}"
14:403,MindLeverX — What is GEO / Mobile,390,4384,84,44,7,0,40,65,29,"{""DM Sans"": 32, ""Manrope"": 12}"
14:489,MindLeverX — Illustrative Report / Mobile,390,3054,101,51,3,0,38,72,39,"{""DM Sans"": 37, ""Manrope"": 6, ""Inter"": 8}"
14:592,MindLeverX — Research / Evidence / Mobile,390,5821,123,71,6,0,66,97,42,"{""DM Sans"": 51, ""Manrope"": 19, ""Inter"": 1}"
14:701,MindLeverX — About / Mobile,390,4490,82,45,8,0,41,65,28,"{""DM Sans"": 33, ""Manrope"": 12}"
14:785,MindLeverX — Availability / Mobile,390,3804,86,46,11,0,42,63,30,"{""DM Sans"": 33, ""Manrope"": 13}"
14:873,MindLeverX — Mobile Menu Open,390,1515,88,33,2,0,16,57,44,"{""DM Sans"": 24, ""Manrope"": 9}"
2:26,Desktop · 1440,1440,5056,143,89,9,0,86,132,42,"{""Manrope"": 33, ""DM Sans"": 56}"
2:27,Mobile · 390,390,6829,134,85,9,0,83,134,39,"{""Manrope"": 32, ""DM Sans"": 53}"
2:28,Design notes & components,850,813,15,11,0,3,10,15,4,"{""DM Sans"": 8, ""Manrope"": 3}"
