frame,frame_id,node,text,font_size,contrast,finding_ids,review,url
Style Guide — Color,12:108,12:110,MIND LEVER X · WEB FOUNDATIONS,12,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-110
Style Guide — Color,12:108,12:111,VERSION 1 · SEP 2026,12,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-111
Style Guide — Color,12:108,12:113,Color system,38,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-113
Style Guide — Color,12:108,12:114,"A dark, high-trust base with rust reserved for brand moments and important actions.",18,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-114
Style Guide — Color,12:108,12:117,Core palette,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-117
Style Guide — Color,12:108,12:118,"Use navy for depth, white for clarity, and rust selectively for identity and conversion.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-118
Style Guide — Color,12:108,12:121,Rust,11,4.369,D02,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-121
Style Guide — Color,12:108,12:122,#C05621,10,4.369,D02,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-122
Style Guide — Color,12:108,12:124,Rust hover,11,6.168,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-124
Style Guide — Color,12:108,12:125,#9D431D,10,6.168,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-125
Style Guide — Color,12:108,12:127,Rust tint,11,13.807,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-127
Style Guide — Color,12:108,12:128,#F2D7C8,10,13.807,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-128
Style Guide — Color,12:108,12:130,Navy,11,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-130
Style Guide — Color,12:108,12:131,#08111F,10,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-131
Style Guide — Color,12:108,12:133,Surface,11,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-133
Style Guide — Color,12:108,12:134,#0E1D31,10,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-134
Style Guide — Color,12:108,12:136,Text,11,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-136
Style Guide — Color,12:108,12:137,#F7FAFF,10,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-137
Style Guide — Color,12:108,12:139,Muted,11,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-139
Style Guide — Color,12:108,12:140,#B6C6D9,10,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-140
Style Guide — Color,12:108,12:143,Usage rule,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-143
Style Guide — Color,12:108,12:144,"Rust should signal brand, emphasis, or action—not decorate every surface. This keeps the interface premium and focused.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-144
Style Guide — Color,12:108,12:148,Primary action,13,4.369,D02,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-148
Style Guide — Color,12:108,12:150,Dark surface,13,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-150
Style Guide — Color,12:108,12:152,Quiet surface,13,13.807,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-152
Style Guide — Typography,12:153,12:155,MIND LEVER X · WEB FOUNDATIONS,12,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-155
Style Guide — Typography,12:153,12:156,VERSION 1 · SEP 2026,12,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-156
Style Guide — Typography,12:153,12:158,Typography,38,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-158
Style Guide — Typography,12:153,12:159,Manrope creates authority in headlines; DM Sans keeps supporting content highly readable.,18,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-159
Style Guide — Typography,12:153,12:162,Display & headings,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-162
Style Guide — Typography,12:153,12:163,"Use Manrope Bold for decisive, compact statements. Keep line lengths controlled and hierarchy obvious.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-163
Style Guide — Typography,12:153,12:165,Be found in the new era of search.,52,17.186,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-165
Style Guide — Typography,12:153,12:166,"Display · Manrope Bold · 82/92 desktop, 46/52 mobile",12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-166
Style Guide — Typography,12:153,12:169,Body & utility,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-169
Style Guide — Typography,12:153,12:170,"Use DM Sans for paragraphs, labels, navigation, and controls.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-170
Style Guide — Typography,12:153,12:172,"When buyers ask AI for recommendations, will your business be part of the answer?",18,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-172
Style Guide — Typography,12:153,12:173,Body · DM Sans Regular · 18/29,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-173
Style Guide — Typography,12:153,12:174,AI VISIBILITY FOR BUSINESSES,12,4.153,D02,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-174
Style Guide — Typography,12:153,12:175,Label · DM Sans Bold · 12/18,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-175
Style Guide — Spacing,12:176,12:178,MIND LEVER X · WEB FOUNDATIONS,12,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-178
Style Guide — Spacing,12:176,12:179,VERSION 1 · SEP 2026,12,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-179
Style Guide — Spacing,12:176,12:181,Spacing & layout,38,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-181
Style Guide — Spacing,12:176,12:182,"An 8-point rhythm keeps sections calm, consistent, and easy to scale across breakpoints.",18,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-182
Style Guide — Spacing,12:176,12:185,Spacing scale,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-185
Style Guide — Spacing,12:176,12:186,"Use the named scale for gaps, padding, and section rhythm instead of inventing one-off values.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-186
Style Guide — Spacing,12:176,12:189,space/8,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-189
Style Guide — Spacing,12:176,12:191,8px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-191
Style Guide — Spacing,12:176,12:193,space/16,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-193
Style Guide — Spacing,12:176,12:195,16px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-195
Style Guide — Spacing,12:176,12:197,space/24,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-197
Style Guide — Spacing,12:176,12:199,24px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-199
Style Guide — Spacing,12:176,12:201,space/32,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-201
Style Guide — Spacing,12:176,12:203,32px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-203
Style Guide — Spacing,12:176,12:205,space/48,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-205
Style Guide — Spacing,12:176,12:207,48px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-207
Style Guide — Spacing,12:176,12:209,space/64,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-209
Style Guide — Spacing,12:176,12:211,64px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-211
Style Guide — Spacing,12:176,12:213,space/96,12,16.781,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-213
Style Guide — Spacing,12:176,12:215,96px,12,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-215
Style Guide — Spacing,12:176,12:218,Layout principles,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-218
Style Guide — Spacing,12:176,12:219,"Start with content hierarchy, then use spacing to make relationships visible. Keep sections generous and component interiors tighter.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-219
