frame,node,parent,type,name,geometry,layout,bindings,reactions,review_scope
12:82,12:82,12:81,FRAME,Style Guide — Brand,"[0, 0, 1280, 706]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 0, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:83,12:82,FRAME,Frame,"[0, 0, 1280, 64]","[""HORIZONTAL"", ""FIXED"", ""FIXED"", ""NO_WRAP"", 0, 32, 0, 32, 0, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:84,12:83,TEXT,MIND LEVER X · WEB FOUNDATIONS,"[32, 23.5, 210, 17]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:85,12:83,TEXT,VERSION 1 · SEP 2026,"[1121, 23.5, 127, 17]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:86,12:82,FRAME,Frame,"[0, 64, 1280, 199]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 56, 64, 48, 64, 14, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:87,12:86,TEXT,Brand foundation,"[64, 56, 314, 55]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:88,12:86,TEXT,"The core identity: confident, clear, evidence-led, and recognizably Mind Lever X.","[64, 125, 700, 26]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:89,12:82,FRAME,Frame,"[0, 263, 1280, 191]","[""HORIZONTAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 32, 64, 32, 64, 72, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:90,12:89,FRAME,Frame,"[64, 32, 300, 72]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 8, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:91,12:90,TEXT,Primary logo,"[0, 0, 300, 26]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:92,12:90,TEXT,Use the full mark and wordmark on spacious brand moments. Preserve clear space around it.,"[0, 34, 300, 38]",null,null,null,Structural inventory; findings and text review identify assessed defects
