id,priority,scope,title,evidence,impact,fix,verify,basis,refs,nodes,patterns
W01,P1,Live website,Seven tables lose content on narrow screens,"At a verified 320 CSS-pixel viewport, the GEO comparison table is 324.21px wide inside a 255px container; the sample Index table is 353.52px inside 255px. The five case-study tables are 292.97–342.52px inside 255px. Each parent has overflow-x:hidden and no tabindex. Source: site/what-is-geo.html:174; site/case-study.html:119; site/answer-engine-index-q3-2026.html:119.",Visitors can lose right-hand cells even though document.scrollWidth does not exceed the viewport. The absence of page-wide overflow is not a reflow pass.,"Use a labeled, keyboard-operable horizontal scroll region for genuinely tabular comparisons, or transform suitable rows into stacked labeled entries. Preserve all cells and headings.","At 320 CSS pixels and equivalent zoom, reach every cell with keyboard and touch. Confirm no hidden columns, readable headers, visible focus and no unnecessary whole-page horizontal scrolling.",Observed defect; WCAG accessibility target,reflow,,
W02,P1,Live website,About-page link has insufficient contrast,"Lighthouse accessibility 96 on mobile and desktop. Selector #method .textlink: “The full definition of GEO is here →”; computed #932C21 text on #1D1F23, 18px / weight 500. Source site/about.html:342, .textlink at line 38, .dark at line 156.",The link is difficult to see within the dark section. It does not meet the 4.5:1 normal-text contrast target.,"Give links in dark sections an appropriate semantic text color; verify default, hover, visited and focus states.",Recalculate contrast against the rendered background and rerun About’s Lighthouse accessibility audit. Check both supported appearances separately.,Observed defect; WCAG accessibility target,contrast,,
W03,P1,Live website,A fictional chart is explicitly called measured,"what-is-geo.html: the chart heading says “FIG. 01 · THIS DEFINITION, MEASURED”; its badge says SAMPLE and the caption says NOT MEASURED. Values include 63 citations, 3/4 engines, 41% share and invented changes. Saved live HTML lines 427–434.",The most prominent wording contradicts the disclosure and can mislead a scanning reader or an extracted snippet.,Rename the heading “Illustrative definition report — fictional data.” Remove named-engine success claims from the example or use neutral fictional entities. Keep the sample disclosure adjacent to each exhibit.,"Search every page, metadata field and chart label for measured/sample contradictions; have a reviewer identify the provenance without reading surrounding paragraphs.",Observed contradiction; editorial reliability recommendation,helpful,,"THIS DEFINITION, MEASURED"
W04,P1,Live website,"GEO explainer makes unsupported, overly broad claims","Live GEO comparison promises a “Days” feedback loop; contrasts SEO with a human scanning ten links and AI with a model consuming sources; FAQ groups Gemini and AI Overviews. The opening defines GEO as engineering content so engines cite and recommend it. Source site/what-is-geo.html; saved live lines 413, 423, 450–476, 518–522.","Readers can infer reliable timing, a false SEO/AI separation, or equivalence between different Google products. Later caveats do not fully repair the specific claims.",Define the work as improving site quality and observing product-specific answers. Remove the universal timing claim. Explain Google Search AI features and Gemini as distinct contexts; keep claims about other products separately sourced.,"Map each consequential platform claim to an official source and scope; label untested propositions as hypotheses. Check introduction, table, FAQ and metadata together.",Observed unsupported claims; official Google scope guidance,google,,"Days — answers refresh, A human scanning ten links, Gemini / AI Overviews, so that generative answer engines"
W05,P2,Live website,Mobile rendering is delayed by blocking resources,"Seven mobile Lighthouse runs scored 88–92; LCP 2.7–3.0s. Homepage render-blocking insight estimates 2,380ms savings. Its expanded desktop report identifies /runtime.js and the Google Fonts stylesheet for Spectral, IBM Plex Sans and IBM Plex Mono. Each HTML file loads that stylesheet near line 11 and runtime.js synchronously.","The first useful content appears later on the simulated slow connection. This is a lab observation, not proof of failing real-user Core Web Vitals.",Review whether runtime configuration is needed on the public static build; defer or inline it only after checking dependencies. Reduce font families/weights or serve selected optimized fonts with an intentional loading strategy. Compare visual stability and font fallback.,Repeat comparable mobile runs after the change; retain medians and variation. Target better LCP without increasing CLS or hiding content. Do not add estimated savings arithmetically.,Measured lab opportunity; implementation options need verification,blocking,,
W06,P2,Live website,Primary journeys lead to unavailable services,"Homepage says “Start with a request” and “Free · No credit card” while requests are closed. About’s “How to reach the practice” supplies no address and a “Start here” link leads to the same closed availability section. These are functioning links, not HTTP failures.",The page promises an action the visitor cannot complete. Repeated availability explanations consume attention without offering a useful next step.,"While closed, make the main action a useful available resource: view a sample, read the method or review published findings. Use one concise availability statement. Add a contact or signup only when a real authorized channel exists.","Follow each primary CTA as a new visitor and record the useful outcome. Confirm no invented mailbox, active-service promise, intake or launch date.",Observed journey limitation; UX recommendation,helpful,,"Start with a request, Free · No credit card, How to reach the practice, Start here"
W07,P2,Live website,Research presentation overemphasizes invented results,"Research Hub leads with a fictional Q3 benchmark, 1,200 prompts and 11.4%, then a sample engine feed. Homepage places invented percentages and an unvalidated 87/100 composite prominently. Disclosures are present and generally explicit.","The hierarchy lends visual authority to invented results. The page offers relatively little current original evidence; the potential effect on visitor trust is a hypothesis to test, not a proven ranking penalty.",Lead with useful sourced analysis and the current measured website audit. Keep one clearly labeled example in an examples section. Use placeholders instead of fabricated quantitative precision when the number is not needed to explain the interface.,Ask representative users what was actually measured and what they learned. Keep the fictional sample out of claims of customer results or research outcomes.,Observed content balance; editorial/UX recommendation,helpful,,"87, Q3 HEADLINE NUMBERS, PROMPTS TRACKED, Watch the citations land, Quoted our GEO definition verbatim"
W08,P2,Live website,Historical case study needs a current companion and tighter language,"The case study is correctly dated 27 July 2026 and labeled historical, but its body repeatedly says the site is not deployed, has six pages and 0/6 JSON-LD. Today all seven public pages return 200 and include parseable JSON-LD. It also says “Every competitor’s case study is a marketing artifact,” an unsupported universal comparison.","The historical disclosure prevents treating old numbers as current, but readers encounter stale present-tense assertions and cannot find a current follow-up beside them.",Preserve the original dated record. Add a separate September audit and a prominent current-status link. Change historical narration to past tense and remove unsupported statements about all competitors.,"The old report remains dated and immutable as evidence; the current report identifies its own URL, time, commit and limits. No old measurement is silently overwritten.",Observed currency gap; editorial recommendation,helpful,,"Every competitor, nothing is served, neither exists yet, Structured data (JSON-LD)"
W09,P2,Verification gap,Real-user experience and search eligibility are not yet verified,"All seven PageSpeed reports say “No Data” for real users. No Search Console property, URL Inspection result, generative-AI inclusion setting, analytics conversion record or measured AI-answer panel was accessed in this audit.","Lab scores cannot establish field INP, a Core Web Vitals pass, indexing, rankings, AI inclusion or business results.","Use Search Console and appropriate field measurement when available. Retain collection windows, device segments and provenance. Keep lab and field results separate.",Record URL Inspection/indexing evidence and field LCP/INP/CLS at the relevant percentile and time window. Report insufficient data explicitly.,"Evidence gap, not a demonstrated implementation failure","google,lighthouse",,
D01,P1,Figma concept,Internal design instructions appear in visitor-facing content,Homepage nodes 13:184–185 display design intent and mobile reading-order instructions. Mobile Research 14:659 says “Do not invent entries or dates”; 14:663 tells the writer what to state; About 14:755 says “Do not invent or imply any of these.”,The design exposes writing instructions and development notes as product copy. It undermines clarity and makes the concept look unfinished.,"Move implementation requirements to named annotation frames outside customer screens. Replace instructions with concise, approved visitor information.","Read all page text as a visitor; no authoring command, breakpoint instruction or owner decision log remains in the customer reading order.",Observed content defect; UX/editorial recommendation,library,"13:184, 13:185, 14:659, 14:663, 14:755","Design intent:, Mobile: single-column, Do not invent, Explicitly state that"
