source_id,title,url,record_statuses,recorded_check_dates,latest_retrieval_scope,hands_on_scope
REF-142764a7b3d8,HEART author manuscript — CHI 2010,https://blog.kleros.io/content/files/pub-tools-public-publication-data/pdf/36299.pdf,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-da9ab5d488f8,Carbon: Button usage,https://carbondesignsystem.com/components/button/usage/,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-06a456ada2f9,Carbon: Color and tokens,https://carbondesignsystem.com/elements/color/overview/,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-a37e45f5a353,Carbon: Motion,https://carbondesignsystem.com/elements/motion/overview/,historical-reviewed-record; linked-in-imported-research,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-16a241a54e03,Stanford: Web credibility guidelines,https://credibility.stanford.edu/guidelines/,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-455005f14f8c,Google Search: AI features and your website,https://developers.google.com/search/docs/appearance/ai-features,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-8a1489092691,Don Norman: Design as Communication,https://jnd.org/design-as-communication/,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-613519308d8a,NIST Handbook 161: Usability handbook for public safety communications,https://nvlpubs.nist.gov/nistpubs/hb/2017/NIST.HB.161.pdf,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-cfcb7249c886,Google Research: Measuring the User Experience on a Large Scale,https://research.google/pubs/measuring-the-user-experience-on-a-large-scale-user-centered-metrics-for-web-applications/,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
REF-bde5640df7c6,Android: Touch target size,https://support.google.com/accessibility/android/answer/7101858?hl=en,historical-reviewed-record,2026-09-19,see original record; not refreshed in lab wave,not established by this catalog
